ad,tur,ilce,lat,lon,alan_ha
BURGAZADA GEZİNTİ CADDESİ YEŞİL ALAN,Kamu,ADALAR,40.882737,29.068998,0.102
HEYBELİADA LOZAN ZAFERİ CADDESİ YAN REFÜJ,Park,ADALAR,40.876966,29.098545,0.019
KINALIADA İSKELE ÇIKIŞI ORTA YEŞİL ALAN,Kamu,ADALAR,40.910488,29.05516,0.003
KINALIADA NİDA PARKI YEŞİL ALAN,Park,ADALAR,40.904496,29.051612,0.052
MAHMUT ŞEVKET PAŞA MAHALLE PARKI,Park,BEYKOZ,41.153377,29.187861,0.08
ÜMRANİYE KAVŞAĞI - TANTAVİ TÜNELİ ARASI ORTA VE YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.03013,29.093349,4.044
EMİRGAN KORUSU,Koru,SARIYER,41.109673,29.054967,42.707
DEDEOĞLU ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),BEYKOZ,41.10838,29.087084,0.276
HASANOĞLU DERESİ PARKI,Park,KUCUKCEKMECE,41.049088,28.757558,7.487
HAVALİMANI TERMİNAL KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.916667,29.312126,5.242
AMBARLI KAVŞAĞI - HARAMİDERE KAVŞAĞI ARASI YAN REFÜJLER,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",AVCILAR,41.000064,28.691615,0.306
İSTASYON MAHALLESİ PARKI,Park,KUCUKCEKMECE,41.031474,28.777988,0.742
ŞEHİT HÜSEYİN ÇATALKAŞ PARKI,Park,EYUPSULTAN,41.080675,28.939517,0.666
SOĞULLAR MAHALLE PARKI,Park,SILE,41.140919,29.792594,0.011
ŞEHİT YARBAY CESUR PARKI,Park,BAHCELIEVLER,40.996057,28.849168,0.346
VELİBABA MAHALLESİ ANKARA CADESİ NO:174 - AYTEMİZ PETROL ÖNÜ REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.89866,29.260156,0.04
TATARCIK PARKI,Park,BASAKSEHIR,41.105754,28.669691,9.594
BAHÇELİEVLER MAHALLESİ ZÜMRÜT CADDESİ ÜÇGEN ORTA REFÜJLER,Cadde (Kavşak ve Refüj),PENDIK,40.885071,29.238302,0.043
ŞİŞLİ CUMHURİYET CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),SISLI,41.044593,28.986748,0.525
PENDİK SAHİL PARKI,Park,KARTAL,40.876312,29.220336,14.465
İSTANBUL BÖLGE İDARE MAHKEMESİ BAHÇESİ,Kamu,BAGCILAR,41.06287,28.829029,1.653
İBB MALTEPE GÜLSUYU ÇEM BAHÇESİ,Kamu,MALTEPE,40.931808,29.156177,0.638
50. YIL PARKI,Park,FATIH,41.014827,28.955819,2.002
VATAN CADDESİ ORTA VE YAN REFÜJLER,Cadde (Kavşak ve Refüj),FATIH,41.016825,28.940452,7.068
NURİ KİLLİGİL PARKI,Park,BEYOGLU,41.057607,28.949217,8.46
ÜZÜM SOKAK PARKI,Park,SILE,41.170312,29.625434,0.082
ÇEKMEKÖY KAVŞAĞI ORTA REFÜJ,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",UMRANIYE,41.029361,29.171695,1.733
KAYNARCA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",PENDIK,40.866462,29.272878,5.22
ŞEHZADEBAŞI CAMİ BAHÇESİ,Kamu,FATIH,41.013921,28.957126,1.037
DARÜŞŞAFAKA METRO İSTASYONU ÇIKIŞI VE ÇEVRESİ,Metro Çıkışı,SARIYER,41.12996,29.025028,0.527
DEMİRCİLİ MAHALLE PARKI,Park,SILE,41.036058,29.649583,0.069
GAZİ PARKI,Park,SULTANGAZI,41.096312,28.89966,9.004
SAMANDIRA KAVŞAĞI,"Karayolu (Kavşak, Şev-Yamaç ve Refüj)",SANCAKTEPE,40.969172,29.217038,7.23
ARKEOLOJİ PARKI,Park,FATIH,41.014488,28.953042,1.193
ARNAVUTKÖY ZEMİN ÜSTÜ PARKI,Park,ARNAVUTKOY,41.183228,28.739677,0.901
