tip,ad,lat,lon,ilce,kaynak
hastane,Bağcılar 28 Nolu Aile Sağlığı Merkezi,41.043128,28.820161,BAGCILAR,OSM
hastane,Acil Tıp Kliniği,41.002851,28.937076,FATIH,OSM
hastane,Alpha Hair Central,41.061326,28.992022,SISLI,OSM
hastane,Bezmialem Vakıf Üniversitesi Tıp Fakültesi Acil Tıp,41.019992,28.934855,FATIH,OSM
hastane,Şişli Hamidiye Etfal Eğitim ve Araştırma Hastanesi Gümüşsuyu Binası,41.037595,28.990045,BEYOGLU,OSM
hastane,Hasanpaşa Aile Sağlığı Merkezi,40.997398,29.042857,KADIKOY,OSM
hastane,Bakırköy 4 Nolu Aile Sağlığı Merkezi,40.978509,28.871864,BAKIRKOY,OSM
polis,Güngören İlçe Emniyet Müdürlüğü,41.0165,28.882581,GUNGOREN,OSM
polis,Sarıyer İlçe Emniyet Müdürlüğü Çocuk Büro Amirliği,41.088625,29.056361,SARIYER,OSM
hastane,Kartal Dr. Lütfi Kırdar Eğitim ve Araştırma Hastanesi KADİR REZZAN HAS ADATEPE POLİKLİNİĞİ,40.933272,29.123963,MALTEPE,OSM
hastane,fsm tıp merkezi,41.022967,29.218531,CEKMEKOY,OSM
hastane,Medient,40.982651,29.092752,KADIKOY,OSM
hastane,Büyükçekmece Aile Sağlığı Merkezi,41.020331,28.578618,BUYUKCEKMECE,OSM
polis,Ataşehir Kaymakamlığı İlçe Emniyet Müdürlüğü Devriye Ekipler Amirliği,40.980161,29.113853,ATASEHIR,OSM
hastane,Sağlık Ocağı,41.01681,28.604195,BUYUKCEKMECE,OSM
hastane,Bahceci,41.022128,29.041889,USKUDAR,OSM
toplanma_alani,3429-014-01,41.049745,28.989612,SISLI,OSM
hastane,İstanbul Üniversitesi Tıp Fakültesi Hastanesi,41.016863,28.93396,FATIH,OSM
hastane,Özel Avusturya Sen Jorj Hastanesi,41.024292,28.974314,BEYOGLU,OSM
hastane,Vize 3 No'lu Acil Sağlık Hizmetleri İstasyonu,41.633815,28.090858,,OSM
polis,T.C. Kapaklı İlçe Emniyet Müdürlüğü,41.333593,27.989113,,OSM
hastane,Medihaus,41.013342,28.656874,ESENYURT,OSM
hastane,Maltepe 4 Nolu Aile Hekimliği,40.941058,29.116763,MALTEPE,OSM
hastane,ARES Psikolojik Danışmanlık Merkezi,40.922688,29.133878,MALTEPE,OSM
polis,Eyüpsultan Polis Merkezi,41.046686,28.930987,EYUPSULTAN,OSM
polis,TCK 1. Bölge Müdürlüğü Selimpaşa İstasyonu,41.061947,28.376366,SILIVRI,OSM
polis,TCK 1. Bölge Müdürlüğü Silivri İstasyonu,41.107904,28.259922,SILIVRI,OSM
polis,Büyükçekmece İlçe Emniyet Müdürlüğü,41.018169,28.593106,BUYUKCEKMECE,OSM
polis,,41.096489,28.511226,CATALCA,OSM
polis,Gaziosmanpaşa Çocuk Büro Amirliği,41.059735,28.928103,GAZIOSMANPASA,OSM
polis,Kriminal Polis Laboratuvarı,41.057063,28.779772,KUCUKCEKMECE,OSM
polis,Gümüşyaka Jandarma Karakol Komutanlığı,41.044983,28.037385,SILIVRI,OSM
polis,Zabıta Noktası,41.325463,27.977204,,OSM
polis,Zabıta Noktası,41.330669,27.981088,,OSM
hastane,Özel Asya Hastanesi,41.073873,28.903824,GAZIOSMANPASA,OSM
hastane,Özel Bilge Hastanesi,41.069542,28.907384,GAZIOSMANPASA,OSM
hastane,Avrupa Özel Şafak Hastanesi,41.059697,28.912384,GAZIOSMANPASA,OSM
polis,Esentepe Polis Merkezi,41.107913,28.877595,SULTANGAZI,OSM
hastane,Küçükbakkalköy Aile Sağlığı Merkezi,40.980494,29.125571,ATASEHIR,OSM
polis,Alibeyköy Polis Merkezi,41.076341,28.944337,EYUPSULTAN,OSM
